"","GSM748796","GSM748797","GSM748798","GSM748799","GSM748800","GSM748801","GSM748802","GSM748803","GSM748804","GSM748805","GSM748806","GSM748807","GSM748808","GSM748809","GSM748810","GSM748811","GSM748812","GSM748813","GSM748814"
"XRCC1",7.29985357892615,8.54435731185541,5.93098363907868,8.38533809411251,5.85463122409389,5.92365054767442,6.57295774582227,7.60297058131128,7.96103138893207,6.88186478671055,6.85621105385245,7.32785599926762,7.4196620295277,6.97002287668687,7.65715821152377,6.37100442989593,5.5972353364663,6.59020005825283,6.95023663148042
"Tsp5D",9.81563494206064,7.95778615234744,11.5257095532145,9.09040897821522,11.5870976211455,11.3771548458384,10.5436913587655,9.59379169529328,9.62903275872205,10.4052650600788,10.229275183238,10.1251313837467,10.1571801492561,10.6884712621048,10.0732101964746,11.293556866266,11.6863900876489,10.731362748945,11.2800028935872
"CG2258",9.10546879249649,11.0292418725424,7.83264614441568,10.5025300791021,8.67302321343374,8.62276383193473,8.24417350707911,10.9146489297195,10.7828014096374,8.85666547208816,8.9086615502758,9.30193201789579,9.75153422635623,10.2807311860846,9.60040672086229,8.93439308158763,8.61348589420692,8.93190245927416,8.83260363764069
"otu",5.20551262370955,8.4722795696142,3.69781344190061,8.20442255432996,3.42177086732665,3.70875126289471,3.73949583163646,4.16292962694031,4.71008386815232,3.73926798250447,4.32043268518978,4.71520193076801,5.27497023762111,5.34834656754231,5.3462141076542,3.69939701399735,3.46439031357969,4.60193053551288,3.61652135264432
"CG32299",2.75843022508003,2.79873873627003,2.65811395469484,2.77479302444411,2.69305507042142,2.86198291343246,2.53576206002671,2.70302834933091,3.07757792141817,5.40684915387092,5.50653232992081,5.75579181920697,2.92169420742876,2.58286045315003,2.48538400972691,4.16786389416395,4.38191999598462,2.77799517153742,3.53579586191321
"CG32305",3.31311207394545,3.37578323593607,3.10214598271113,3.1124715590934,3.48035587968016,3.11255769420337,3.35088487688791,4.34222004231362,3.4950224929741,7.05756409734151,7.0765013699632,7.53929988017031,2.84804719960153,2.69376673021963,3.30239790826868,5.31639022243392,4.56937674600791,3.3591412593119,3.21977628556212
"CG32368",5.76323153547306,4.98481771106781,6.42214264868103,6.07963378126246,7.34933962610592,5.95739859485096,7.12221012243894,5.24156616115842,4.88869949287854,7.98842840938701,8.00522717413919,8.00845809277616,5.25492519540451,5.24609073865279,5.11969101211715,8.25768864236091,8.48053091230245,5.72913864861833,5.68985896288091
"Muc14A",3.57702661259487,5.97517901098861,2.89464119393195,4.52456060425738,3.65804247439649,4.20885689819982,3.98576474306075,7.20677732366346,5.88106615672051,5.80139240166503,5.9059849926226,6.45549770458634,6.6375083772974,6.17997190025404,6.61561094958174,4.5249176766066,5.89779136444962,5.65505863807582,4.8132873814892
"CG31125",8.15444632690839,9.10998564201596,8.29681534770648,8.71949838143741,7.25586385233765,6.6686254226327,8.13072302339047,9.78944717527513,9.75452434031006,8.01074819916416,8.04030026399106,8.27809003476123,7.98656250942349,6.50214136449665,7.65808542713438,6.65443870708741,6.50884857677391,6.85827839838504,6.56892329500215
"CG31251",7.48880357167191,9.11238828467217,7.88216365425557,8.80830765872665,7.02211858585966,6.92066296878064,7.19617851140934,8.37703024499108,9.1225360616201,9.3796933742471,9.44466825771801,9.5314600407687,8.89173697917074,7.73130954861149,8.67510905086861,8.17223823286067,7.85017226624337,8.10947839958709,7.78552722594924
"CG31436",7.81995145399962,8.35911160402492,8.01135539843411,8.39057932785568,8.73580154804694,8.32026971978363,8.03574493090292,9.95874625207998,9.39961165379726,7.88220227153137,7.95893794952391,7.69240057694453,9.39753479493929,10.2009015646551,9.27738439330711,8.45941410896075,8.82406794607976,10.035827117578,10.0020432356288
"Osi16",6.04588990644828,3.98400692152971,9.53798648762627,5.73617985732137,4.80648614694081,7.04606062119764,6.15614227197272,4.30507275358831,3.647595400319,6.11575021299839,6.24344577554113,6.61149404277252,6.85966240492782,7.01634743603002,6.37446237405696,4.87772898515658,5.51003906307074,7.81256065252562,6.68420739351439
"CG31769",4.40214444741509,7.52887827414513,4.88095026104849,7.23540702141436,5.2157828745519,4.1130505321208,4.34059900180914,10.572279906834,9.30124947543914,4.8037746773018,4.5034946692618,4.27859895256079,5.83806794176439,7.11452970843822,5.76679337707272,4.27785161524085,4.45108712922738,5.91410391491681,5.25810737402779
