"","GSM748796","GSM748797","GSM748798","GSM748799","GSM748800","GSM748801","GSM748802","GSM748803","GSM748804","GSM748805","GSM748806","GSM748807","GSM748808","GSM748809","GSM748810","GSM748811","GSM748812","GSM748813","GSM748814"
"1639902_at",10.6030503976773,10.6156644795182,8.43483857591784,10.6328973477346,8.62392991542066,8.41309253187411,10.3121523048962,9.79815434890871,10.6221788010171,10.1802054694738,10.2615569355222,10.2921987995301,9.69320245494224,8.0273850221813,9.66375180215128,7.90363189817152,7.78914798869547,7.35848060628655,7.47728217163982
"1638056_at",6.63126076106655,6.13529216922769,4.31225425761778,5.87679177065331,6.50190590344336,6.55507260745808,6.55900362828048,7.01394624908944,5.91173113659196,6.93275465640995,7.13113958318205,7.42242359311654,7.4294617382781,7.34847489717664,7.07665721916582,7.62955077845533,7.73223177771617,7.59860412119911,8.40028209750894
"1628979_at",6.95567240618018,6.07999674336829,4.11768794423713,5.80104181610192,5.08315383356443,5.27280562499047,4.88108290218625,5.9645484350948,4.66031646420481,6.62401469701895,6.46224811296334,6.91440440879837,6.29425537121724,5.78375247171096,6.03971265147075,5.9012408301853,5.7198805928377,5.26927492102802,4.89466831470901
"1623096_a_at",8.20387457604603,6.81817868880344,9.06915709095215,7.31180525547132,7.17787122073197,7.96983438833504,7.44314244191994,6.56112203870565,6.50193973838086,8.36192833626462,8.3324912147836,8.27313745337485,8.65461289757481,7.94230145329752,8.51944657814659,6.1996782501155,6.75110676574618,7.42800837143768,7.38656895183901
"1626526_at",5.91020670632856,5.71121270828745,6.61105804347797,6.47408280024191,7.81385800664833,6.61550847325436,7.85692891124794,8.23667008965727,7.78965284881259,5.39112711401754,5.32643892645359,5.46985756203374,7.32458187255521,6.45817995626873,7.0192612265915,6.61748091195628,7.40615301831234,9.15153789647877,8.75720113371221
"1639323_at",2.53421880632955,3.93768739904137,3.08285743489362,6.46147904461412,2.63522701351867,2.85220908281512,3.25721538114291,6.09949250077758,6.29445003869558,2.63476399267358,2.41779437460783,2.94871933678816,3.22655763512206,4.76949156225558,3.39378089717199,5.21033288573477,5.84400167090623,5.68566387004045,6.82151390109448
"1640654_at",4.25009142440873,3.31850117229354,6.21184305704685,4.10398320372518,10.3282782934014,9.95093165704921,9.28293868065267,8.10215877502407,6.67735805099738,5.18508092672545,5.21983897417591,4.75141522426199,5.90508154374622,7.35914091808944,5.55781246868475,11.4463283869276,11.5973483950607,12.0363105335157,12.7082374382807
"1633943_at",6.7342054134088,7.55644779955136,4.02990740729363,6.96035612932873,6.82379212238241,6.40442690103296,7.47242254648342,7.31405045505347,6.7087215135861,5.81012424874137,6.25418070399306,6.12598636877783,5.89296584280306,5.33861700154064,5.73319332854064,6.9398139348984,6.34217996147154,7.18942598813655,7.02120106084431
"1635180_at",3.16766737111351,3.52585376934438,4.37037265625581,3.36960402822882,6.84464141351528,5.87492215504337,5.55917455522738,5.93507525251895,4.85816274637762,5.31700896339725,5.45121762027491,5.68437639553871,5.8808396475512,4.67976311407562,5.787474764287,8.0135655587949,8.01595918063105,7.40360374846646,6.86615739521246
"1633520_at",7.63997340876199,8.20391544068367,6.27652897289829,8.25488270609739,8.58015080864071,7.41924869352928,7.8347035078593,7.80568083715354,7.60644995776825,6.89831366557951,6.69461613768557,6.98879564989842,6.76647324847027,6.16342527454326,6.73288009921569,6.17309978333553,6.35777119732814,6.19748769074745,7.01390642867994
"1640719_at",4.98110098281774,5.77010573453581,4.38932380634961,4.74180384519351,5.95986031273139,4.37119557658369,4.60529551193133,7.70567240267894,6.85871358591115,5.52683693432344,5.83893838511098,5.87416633344147,5.74455174929317,4.69815594123609,5.50774767571802,6.82452221894226,6.63974755979043,5.7612754982373,6.41946475920971
"1635061_at",7.12875625584378,9.03000697750117,9.98711088732569,10.2760817707639,5.46013891508219,5.30741006415286,6.09455274516895,10.1723114506787,8.70499564505232,6.13201042449668,6.0645570305165,6.24488467227374,7.44447253435757,8.15523596659326,7.09249165445825,6.23337656279391,6.99317000788275,7.91010717338643,8.58738439055908
"1636022_at",4.15493824757268,4.88129062108941,4.06950017806237,4.41825279159183,5.4848104095304,5.2183479446088,5.30703367629443,7.27132701657532,6.30961389610163,3.85994991509508,3.92816700629322,3.72320495418946,3.80052355967663,3.94906030358407,3.84221838051162,4.76713722437069,4.91030294291869,4.72114665011169,4.3157481292447
"1637934_at",5.38757257435979,5.18763417845356,7.15317809774366,4.86592805883924,4.64715645073747,5.42186028988761,5.65891978692046,5.0435407377657,5.50348592499951,5.96226929356484,6.05269317638301,6.4546348928122,6.45429790083843,7.72996897318639,6.79064415800754,5.1793931015754,5.83337484936727,6.71175348682261,5.56195842058455
"1625121_at",8.27661109350308,7.78138581940337,8.43641904307138,7.70434396379366,9.71877209042062,8.68680355366866,8.87181189693317,8.35278438366752,7.99456598345012,8.56958697295835,8.69060593329391,8.55900840402693,8.79193846709312,7.86838037268644,8.71309202426976,9.41599607731118,9.46208971976914,9.74737591195151,9.57305229968655
"1630700_at",6.40033167621736,5.08533029759355,4.2971760233455,5.65850155162027,4.13880693401068,4.69286193656135,5.20376200400465,4.17031627591341,5.04166926024145,5.99762434697879,6.19518070532499,6.50471025234916,6.74600702462945,6.21685717712787,6.65899652971213,3.22930765378828,2.86722302279232,3.8132963568725,2.78256619900319
